"Test Case ID","Workstream","Phase","Priority","Environment(s)","Title","Category/Tag","Objective","Steps (Action => Expected)","Pass/Fail Criteria","Suite File"
"TC-P3-04","WS1","3","P2","DEV/QAR/PROD/HFX","All servers exist with correct naming per Env Variables","CRITICAL — Naming","","AWS Console → EC2 → Instances (running) => Instance list loads | Compare running instances to the expected server list for the Tier (architecture + Env Variables tab) => Every expected server present | Verify each server name matches the naming convention exactly => All match | Confirm no missing and no unexpected extra servers => Set matches expected","Full server set present with correct names. Missing/misnamed = Fail → Cloud Infra.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-05","WS1","3","P2","DEV/QAR/PROD/HFX","Server names & IPs documented in Env Variables by Cloud Infra","","","Open client tab in Env Variables => Server names + IPs populated | Cross-check against AWS console => Consistent","Documentation complete and matches AWS.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-06","WS1","3","P2","DEV/QAR/PROD/HFX","Missing component / wrong naming is logged and escalated","Negative","","Encounter missing/misnamed server => Logged as issue | Escalate to Cloud Infra (Erik/Lindsay) => Routed correctly","Issue detected and escalated, not passed.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-07","WS1","3","P2","DEV/QAR/PROD/HFX","Incomplete ""Connect to AWS server"" step","Documentation defect","Flag that Step 2.3.d is an unfinished `TODO` (""Add steps here for Connect to AWS server"").","Attempt to follow Step 2.3.d => No instructions present → cannot execute","Gap confirmed and logged (defect D-P3-1); connect-to-server validation deferred until authored. Scope note acknowledged: detailed functional/LB/connectivity testing is out of this phase (separate testing playbook).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3.1-01","WS1","3.1","P3","DEV/QAR/PROD/HFX","Kerberos architecture documentation link is present and correct","","","Confirm Description includes the `/architecture/kerberos-setup` link (not just generic arch) => Present & resolves","Kerberos-specific doc linked.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.1_KerberosSetup.md"
"TC-P3.1-02","WS1","3.1","P3","DEV/QAR/PROD/HFX","Kerberos configured AND validated by Kerberos Team","Hand-off outcome","","Await Jira ticket → Done or completion comment => Kerberos Team confirms configured + validated | Confirm all three Outputs evidenced (ticket w/ link & assignment; configured; validated) => Yes","Configuration and validation both confirmed by Kerberos Team (note: this phase delegates validation entirely to that team — SQA verifies the confirmation exists).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.1_KerberosSetup.md"
"TC-P3.2-01","WS1","3.2","P3","DEV/QAR/PROD/HFX","LB, alias, and listener details documented in Env Variables","Data","","After setup, inspect client tab for load balancer, alias, listener entries => All present, accurate, complete | Both Infra and App & Network teams confirm sufficiency for Phase 3.3 => Confirmed","LB/alias/listener details complete (gates Phase 3.3 cert work).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"TC-P3.2-02","WS1","3.2","P3","DEV/QAR/PROD/HFX","DNS CNAME configured for ALL servers and load balancers","CRITICAL","","Enumerate every server + LB requiring an alias => Complete list | Confirm a CNAME exists and resolves for each => All resolve to correct target | Confirm branded/user-friendly names map correctly (not raw AWS endpoints) => Correct mapping","Every server/LB has a working CNAME.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"TC-P3.2-03","WS1","3.2","P3","DEV/QAR/PROD/HFX","DNS change connectivity issue is handled","Negative / rollback","","Simulate/observe a bad CNAME or timing issue => Connectivity issue detected | App & Network Team investigates and rolls back if needed => Rollback path works (per Common Issues)","Rollback/troubleshooting procedure is effective.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"TC-P3.2-04","WS1","3.2","P3","DEV/QAR/PROD/HFX","DNS CNAME change submitted via ServiceNow","Change control","","Confirm DNS CNAME change went through a ServiceNow Change Request => CR exists; approver = Steven DePietro","DNS changes are change-controlled, not ad hoc.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"TC-P3.3-01","WS1","3.3","P2","DEV/QAR/PROD/HFX","Cert work blocked until LB/alias details confirmed","Dependency gate","","Attempt cert setup with LB/alias details missing/incomplete => Blocked — prerequisite not met | Proceed only after both teams confirm Phase 3.2 output sufficient => Allowed","Hard dependency on Phase 3.2 enforced.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.3_Certificates.md"
"TC-P3.3-02","WS1","3.3","P2","DEV/QAR/PROD/HFX","Certificates valid, trusted, and correctly bound","CRITICAL — Security","","After application, browse each HTTPS endpoint / inspect cert => Valid chain, trusted CA, not expired | Confirm CN/SAN matches the DNS alias/hostname => Match (no name mismatch) | Confirm cert applied to all servers and load balancers in scope => All covered | Confirm HTTPS/TLS negotiated (encrypted in transit) => Secure connection established","Valid, trusted, correctly-bound certs on all endpoints.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.3_Certificates.md"
"TC-P3.3-03","WS1","3.3","P2","DEV/QAR/PROD/HFX","CSR & renewal process documented/followed","","","Confirm CSR generated per documented steps (PowerShell script) and ServiceNow request used to attach => Followed | Confirm renewal/expiry tracking exists => Renewal plan documented (avoids future outage)","CSR/renewal handled per `/architecture/certificates`.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.3_Certificates.md"
"TC-P3.4-01","WS1","3.4","P1","DEV/QAR/PROD/HFX","IT Intake submitted only when required","CRITICAL — Decision table","Verify the operator correctly decides whether Step 1 applies. Step 1 is **project-level**, not per-client.","New project; InfoSec not yet engaged => **Submit** IT Intake | Project restarted after a multi-month pause; resources may be re-assigned => **Submit** IT Intake (re-allocate) | Project active; InfoSec currently allocated & engaged => **Skip** to Step 2 | New client within a running project, no InfoSec gap => **Skip** to Step 2","Operator's submit/skip choice matches the expected decision for each scenario. Wrong choice = Fail (either wasted intake or unallocated InfoSec).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"TC-P3.4-02","WS1","3.4","P1","DEV/QAR/PROD/HFX","IT Intake form completed correctly (when submitted)","","","Initiative Type = ""Project"" => Selected | Subject = ""InfoSec Security Controls Setup - <Tenant Name>"" (real name, no `REF[]`) => Correct | Reported By + email completed => Present | Additional Details include Env Variables + InfoSec Requirements links => Both resolve | Submit; capture ticket number => Number saved/tracked | Notify InfoSec team with ticket number (email/Teams) => Notification sent","Form correct, ticket number captured & tracked, InfoSec notified.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"TC-P3.4-03","WS1","3.4","P1","DEV/QAR/PROD/HFX","Server/IP/LB details present before intake","Prereq data","","Confirm Env Variables has servers, IPs, load balancers, components => Complete | If missing → contact Cloud Infra before submitting => Gap routed","InfoSec receives complete infrastructure details.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"TC-P3.4-04","WS1","3.4","P1","DEV/QAR/PROD/HFX","Step 2 performed for EVERY client regardless of Step 1","CRITICAL","","Confirm Step 2 executed even when Step 1 was skipped => Always done","Step 2 never skipped.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"TC-P3.4-05","WS1","3.4","P1","DEV/QAR/PROD/HFX","All 5 security user stories created with correct titles, references, assignment","","Verify each user story exists with `REF[Tenant ID]` substituted, correct reference doc(s), AC, and InfoSec assignment.","AWS Server Setup - <Tenant ID> => `aws-server-setup.md` | Create Access Roles - <Tenant ID> => `aws-server-setup.md`, `windward-okta-sso-integration.md` | Kerberos / AD Prerequisites (OAG) - <Tenant ID> => `oag-instructions.md` | Security Control Validations - <Tenant ID> => `security-controls-validation.md` | ForcePoint DSS Server Provisioning - <Tenant ID> *(requires PHI-ready servers)* => `forcepoint-dss-fingerprinting.md`","All 5 stories correct, linked, and assigned.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"TC-P3.4-06","WS1","3.4","P1","DEV/QAR/PROD/HFX","ForcePoint DSS requires PHI-ready servers","Sequencing — US5 PHI gate","","Confirm US5 is gated on PHI-ready servers => Not executed before servers PHI-ready","US5 dependency respected (DLP fingerprinting on PHI-bearing servers).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"TC-P3.4-07","WS1","3.4","P1","DEV/QAR/PROD/HFX","Security controls deployed & validated by InfoSec","Hand-off outcome","","Await InfoSec confirmation (email/Teams) => Controls deployed & validated | Confirm all backlog stories/tasks closed => Closed","InfoSec confirms controls deployed and validated.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"TC-P3.4-08","WS1","3.4","P1","DEV/QAR/PROD/HFX","If Step 1 applied, it must be COMPLETE before Step 2 closure","Negative — prereq","","Where Step 1 applied, verify intake submitted & InfoSec notified before relying on Step 2 execution => Enforced","Conditional prerequisite honored.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"TC-P4-01","WS1","4","P1","DEV/QAR/PROD/HFX","Databases created/sized per Tier architecture","Tier — DB config","","Confirm DB names/sizes/configs follow the Tier-appropriate database-tier spec => Matches Tier | Confirm details documented in Env Variables => Recorded","DBs configured per Tier and documented.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"TC-P4-02","WS1","4","P1","DEV/QAR/PROD/HFX","Connect using comma-port format","SQA validation — connectivity via SSMS","","Add credential in Windows Credential Manager: `REF[windward-database-server-ip]:1437` + DQ creds => Saved | SSMS → Connect to Server: `REF[windward-database-server-ip],1437` (**comma, not colon**) + Windows Auth => Connects (wait 30–60s) | Expand Databases; confirm all expected DBs present/accessible => All visible","Connects and all databases visible.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"TC-P4-03","WS1","4","P1","DEV/QAR/PROD/HFX","Colon-before-port causes failure","Negative — known issue","","Attempt `IP:1437` (colon) => Connection error (reproduces Common Issue) | Switch to `IP,1437` (comma) => Connects","Comma format required; colon fails as documented.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"TC-P4-04","WS1","4","P1","DEV/QAR/PROD/HFX","DEV validated before QAR, then PROD","Sequential env","","Validate DEV first; QAR configured after DEV approved => Order honored (note: doc lists DEV→QAR→Prod; confirm HFX handling)","Sequential order honored.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"TC-P4-05","WS1","4","P1","DEV/QAR/PROD/HFX","Broken infosec prereq reference","DOC DEFECT","","Follow ""Phase 3.1 Security setup"" → `Phase03.1_Infosec.md` (infosec is Phase 3.4; 3.1 is Kerberos) => Broken/wrong ref","Defect D-P4-1 logged (recurring infosec mis-reference).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04_SetupDBs.md"
"TC-P4.1-01","WS1","4.1","P1","PROD/HFX only","Operation restricted to PROD/HFX only","CRITICAL — Environment gating","Verify the offline operation is NEVER performed for DEV/QAR.","Confirm ticket targets PROD (or HFX) => Correct env | Attempt to scope this phase for DEV/QAR => Rejected — phase applies to PROD/HFX only","Only PROD/HFX targeted. Any DEV/QAR offline attempt = Fail (S1).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"TC-P4.1-02","WS1","4.1","P1","PROD/HFX only","Approved maintenance window exists before offline","CRITICAL — Change control","","Confirm PM/BA + business stakeholders approved a window => Documented date/time | Confirm ticket Description has ""Approved Maintenance Window: <date/time>"" (not the `[INSERT DATE AND TIME]` placeholder) => Real value present | Confirm offline occurs only within the window => Within window","Offline only under an approved, documented window. Placeholder left unfilled = Fail.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"TC-P4.1-03","WS1","4.1","P1","PROD/HFX only","Connections drained & app teams notified before offline","Safety","","Confirm application teams notified pre-offline => Notified | Confirm all active connections terminated gracefully => Graceful drain | Confirm exact offline time documented => Timestamp recorded | Confirm DB fully offline before any backup begins => Verified offline","Graceful, notified, documented, fully-offline before downstream work.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"TC-P4.1-04","WS1","4.1","P1","PROD/HFX only","Only Windward_Commercial (COM) targeted","Correct DB","","Confirm target = Windward_Commercial (COM) => Correct DB | Confirm no unrelated DB taken offline => Scope correct","Correct single DB offlined.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"TC-P4.1-05","WS1","4.1","P1","PROD/HFX only","DBA confirms offline status in ticket","Hand-off outcome","","Await ticket Done w/ comment: exact offline time, status verification, issues => All present","DBA confirmation complete.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"TC-P4.1-06","WS1","4.1","P1","PROD/HFX only","PROD-only vs ""PROD and HFX"" / acceptance-criteria inconsistency","DOC DEFECT","Flag internal inconsistency: file name & Introduction say ""PROD ONLY"", but the H1 title and body say ""PROD and HFX"", while the Title template and Acceptance Criteria mention only ""PROD""/""PRODUCTION"".","Compare filename/Intro (""PROD ONLY""), H1 (""PROD and HFX""), Title template (""... PROD""), AC (""PRODUCTION"") => Inconsistency confirmed | Determine intended scope with DBA/architect => Clarified","Inconsistency logged as defect D-P4.1-1; scope clarified so HFX is not missed or wrongly excluded.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"TC-P4.1-07","WS1","4.1","P1","PROD/HFX only","Path exists if offline fails or window overruns","Rollback/contingency","","Define behavior if connections won't drain or window expires => Documented rollback/abort (bring back online, reschedule)","Contingency defined (note: playbook does not document one → potential gap).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.1_BringComDBOfflinePROD.md"
"TC-P4.2-01","WS1","4.2","P1","DEV/QAR/PROD/HFX","All three databases backed up","CRITICAL — Completeness","","Confirm Config (`REF[ConfigDatabaseName]`), Payment (`REF[PaymentDatabaseName]`), Windward (`REF[WindwardDatabaseName]`) all backed up => All 3 present | Confirm DB names resolved from Env Variables (no `REF[]`, correct per client) => Correct names","All three DBs backed up with correct client-specific names.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"TC-P4.2-02","WS1","4.2","P1","DEV/QAR/PROD/HFX","Backup integrity validated & documented","CRITICAL — Integrity","","DBA validates backup integrity (e.g., RESTORE VERIFYONLY / checksum) => Pass | Backup file locations, sizes, timestamps documented in ticket => Recorded","Integrity verified and evidence documented.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"TC-P4.2-03","WS1","4.2","P1","DEV/QAR/PROD/HFX","PROD backup only after Phase 4.1 offline","Sequencing — PROD source","","Confirm PROD backup taken only after COM DB offline (Phase 4.1) => Order correct","PROD backup follows offline; consistent snapshot.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"TC-P4.2-04","WS1","4.2","P1","DEV/QAR/PROD/HFX","All three DBs restored to windward-database-server (01)","CRITICAL — Completeness","","Confirm target = `REF[windward-database-server]` (01) => Correct server | Confirm Config, Payment, Windward all restored => All 3 restored","All three restored to the correct server.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"TC-P4.2-05","WS1","4.2","P1","DEV/QAR/PROD/HFX","Integrity validated after restore","CRITICAL — Integrity post-restore","","DBA runs integrity checks (e.g., DBCC CHECKDB) => Pass, no corruption | Row counts / key objects sanity-checked vs source => Consistent","Restored DBs pass integrity and match source.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"TC-P4.2-06","WS1","4.2","P1","DEV/QAR/PROD/HFX","Permissions configured post-restore","Permissions/access","","Confirm DB permissions/access configured => Least-privilege, correct logins","Access configured correctly.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"TC-P4.2-07","WS1","4.2","P1","DEV/QAR/PROD/HFX","Connectivity verified via SSMS","SQA validation","","SQA connects via SQL Server Management Studio (per Phase 4 Step 2) => Connects successfully | Connectivity confirmed from application servers => Reachable","SQA confirms connectivity (Joshua/Keerthan; mgr Arun Pant).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"TC-P4.2-08","WS1","4.2","P1","DEV/QAR/PROD/HFX","One backup+restore cycle per env, in order","Sequential env","","DEV completed before QAR ticket; etc. through HFX => Strict order","Sequential per-env order honored across both steps.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.2_BackupRestore.md"
"TC-P4.3-01","WS1","4.3","P1","DEV/QAR/PROD/HFX","Verified backup exists before shrink","CRITICAL — Safety","Because the original WW_Commercial is replaced, confirm a validated backup (Phase 4.2) exists and is restorable before any shrink.","Confirm Phase 4.2 backup COMPLETE & integrity-validated for the env => Backup present & verified | Confirm restore path is known/tested => Recoverable | Block shrink if no verified backup => Hard stop","No shrink proceeds without a verified, restorable backup. Missing = Fail (S1).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.3-02","WS1","4.3","P1","DEV/QAR/PROD/HFX","Shrink only for small/Tier-3 BUs","CRITICAL — Tier applicability gate","Playbook: shrink ""only applicable for smaller business units with limited member populations, such as SLE (Tier 3).""","Tier 3 (e.g., SLE) => Shrink **applies** | Tier 1 / Tier 2 => Shrink **does not apply** — do not run (confirm with architect)","Applicability decision matches Tier. Running shrink on a non-Tier-3 client without sign-off = Fail.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.3-03","WS1","4.3","P1","DEV/QAR/PROD/HFX","Purchaser/Parent/Sub-Group IDs correct & complete","CRITICAL — Data scoping correctness","These IDs define which data is **kept**. Errors cause kept-wrong-client or dropped-valid data.","Verify Purchaser_ID(s) from Mandy Willms/AJ match the client => Exact | Verify Parent_Group_ID(s) complete => All groups present | Verify Sub_Group_ID(s) complete (often a long comma-separated list — none omitted) => Full list, correct format | Cross-check IDs vs an independent client definition (e.g., NBI / ClientMemCount lineage) => Consistent | Confirm comma-separated formatting parses as intended => No malformed/space-broken IDs","All scoping IDs correct, complete, well-formed. Any gap = Fail (S1 — data correctness).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.3-04","WS1","4.3","P1","DEV/QAR/PROD/HFX","Verify_Shrink_Results.sql passes; no missing recent data","CRITICAL — Data integrity post-shrink","","Run `Testing/Verify_Shrink_Results.sql` (Step 2 link) => Pass per spec | Confirm reduced DB contains **only** the target client's data => No other clients' data remains | Confirm target client's data is **complete** — members, recent activity, claims not missing => Complete | Spot-check known members for the client are present => Present","Reduced DB = exactly the client's complete data, nothing extra, nothing missing.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.3-05","WS1","4.3","P1","DEV/QAR/PROD/HFX","Before/after size documented and reduction confirmed","Metrics","","DBA documents DB size before & after in Step 1 ticket => Both recorded | SQA confirms meaningful reduction per specs => Confirmed","Size reduction documented and validated.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.3-06","WS1","4.3","P1","DEV/QAR/PROD/HFX","Reduced DB reachable/usable","Connectivity","","SQA tests connectivity/accessibility post-shrink => OK","Connectivity confirmed.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.3-07","WS1","4.3","P1","DEV/QAR/PROD/HFX","Step 2 ticket linked; bugs routed to DBA","Linkage & defect flow","","Step 2 validation story linked to Step 1 (""relates to""/""validates"") => Linked | Any issue (unexpected size, missing data, errors) → bug on backlog assigned to DBA => Routed","Traceable linkage and defect routing.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.3-08","WS1","4.3","P1","DEV/QAR/PROD/HFX","Per-env order; high-level validation only","Sequential env + scope note","","Separate run+validate per env DEV→QAR→PROD→HFX => Order honored | Acknowledge validation is high-level; deep functional/data validation deferred to Phase 10 => Noted","Order honored; scope boundary understood.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.3-09","WS1","4.3","P1","DEV/QAR/PROD/HFX","Broken/incorrect prerequisite reference","DOC DEFECT","Step 1 Prereq #1 links Phase 3.3 as `Phase03.3_Infosec_IT_Intake.md`, but Phase 3.3 is **Certificates** and the InfoSec/IT-Intake content is **Phase 3.4** (`Phase03.4_Infrastructure_Security.md`).","Follow the Prereq link => Wrong/broken target confirmed","Defect D-P4.3-1 logged; correct reference should be Phase 3.4.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.3_WWShrinkWW1.0AndConfig.md"
"TC-P4.5-01","WS1","4.5","P2","DEV/QAR/PROD/HFX","Replica matches source","CRITICAL — data consistency","","SQA connects to read-only server via SSMS using `REF[windward-database-read-only-server-ip]` (comma-port format) => Connects | Confirm Windward/Config/Payment DBs present and accessible => All present | Confirm replicated data matches source => Consistent","Replica complete and matching source.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"TC-P4.5-02","WS1","4.5","P2","DEV/QAR/PROD/HFX","Distribution, publications, subscriptions configured","Replication topology","","Confirm distribution DB on distribution server => Configured | Confirm publications on source, subscriptions on read-only => Created | Confirm synchronized + low latency => Synced, minimal lag","Topology correct and synchronized.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"TC-P4.5-03","WS1","4.5","P2","DEV/QAR/PROD/HFX","AG configured and failover tested (if applicable)","Always On AG + failover","","If AG applicable, confirm configured => Configured | Test failover scenario => Fails over cleanly | Confirm monitoring/alerts on replication => Active","AG + failover validated (or N/A documented).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"TC-P4.5-04","WS1","4.5","P2","DEV/QAR/PROD/HFX","On-prem replication does not impact production","Performance — on-prem","","Confirm network connectivity + firewall/security groups for replication traffic => Established | Performance test: minimal impact on production DB => Acceptable | BI/reporting team confirms data matches AWS source; sample reports accurate => Validated","On-prem replication accurate with acceptable production impact.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"TC-P4.5-05","WS1","4.5","P2","DEV/QAR/PROD/HFX","Broken next-phase link","DOC DEFECT","","""Next phase"" links Phase 5 as `Phase05_DeployWWApplications.md` (actual `Phase05_DeployWW1.0AndConfig.md`) => Broken link","Defect D-P4.5-1 logged (recurring).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase04.5_Replication.md"
"TC-P5-01","WS1","5","P2","DEV/QAR/PROD/HFX","App reachable via Citrix/Edge on internal network","Functional — WW1.0 accessible","","Open WW1.0 URL built from `REF[windward-app-NLB-loadbalancer-https-Alias]` (verify alias value, not hardcoded) => App loads | Confirm access is internal-only (Citrix/Edge), not externally exposed => Internal-only | Daniel Hobert sanity test + executor login => Running, no errors","WW1.0 accessible and running via the correct alias on the internal network.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05_DeployWW1.0AndConfig.md"
"TC-P5-02","WS1","5","P2","DEV/QAR/PROD/HFX","Config reached through WW1.0 URL","Functional — Config module navigation","","From WW1.0, perform Group/Standard search => Lands on WW2.0 Group Config page | Click ""Home"" => ""Welcome to Configuration UI"" displayed","Config module reachable and rendering correctly through WW1.0.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05_DeployWW1.0AndConfig.md"
"TC-P5-03","WS1","5","P2","DEV/QAR/PROD/HFX","Tier-sized app/DB sustains expected load","Performance","","Drive representative member/claims navigation load for the Tier => Response times within threshold | Monitor server/DB resource use (incl. WW-Shrink-reduced DB) => Within Tier capacity","Meets performance thresholds for the Tier.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05_DeployWW1.0AndConfig.md"
"TC-P5-04","WS1","5","P2","DEV/QAR/PROD/HFX","Config mislabeled ""Windward 2.0""; broken cross-link from 5.2","DOC DEFECT","","Step 2 prereq calls the Config module ""Windward 2.0"" (vs title ""Config Module"") => Inconsistency confirmed | Phase 5.2 links this phase as `Phase05_DeployWWApplications.md` (actual file `Phase05_DeployWW1.0AndConfig.md`) => Broken link confirmed","Defects D-P5-1 (mislabel) and D-P5-2 (broken cross-link) logged.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05_DeployWW1.0AndConfig.md"
"TC-P5.1-01","WS1","5.1","P1","DEV/QAR/PROD/HFX","All three security user stories created, linked, assigned","","","US1/US2/US3 present with correct topic titles => All 3 present | Each links its infosec reference file(s); links resolve => Resolve | Assigned to InfoSec (+ Identity for US1/US2) => Correct","Three stories created, linked, assigned.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase05.1_AppSecurity_WW1_Config.md"
